data,ordem_servico,valor_atendimento,horas_tecnicas,horas_tecnicas_50,km,refeicao,pecas
2025-09-20 00:00:00,1,2000.0,8.0,2.0,200.0,80.0,0.0
2025-09-20,,912.0,450.0,270.0,112.0,80.0,0.0
